G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
58,Thu Feb 23 2017,8:00p ET,,Box Score,@,Cleveland Cavaliers,L,,104,119,23,35,L 2,
59,Sat Feb 25 2017,7:30p ET,,Box Score,,Philadelphia 76ers,W,,110,109,24,35,W 1,
60,Mon Feb 27 2017,7:00p ET,,Box Score,,Toronto Raptors,L,,91,92,24,36,L 1,
61,Wed Mar 1 2017,7:00p ET,,Box Score,@,Orlando Magic,W,,101,90,25,36,W 1,
62,Fri Mar 3 2017,7:00p ET,,Box Score,@,Philadelphia 76ers,L,,102,105,25,37,L 1,
63,Sun Mar 5 2017,3:30p ET,,Box Score,,Golden State Warriors,L,,105,112,25,38,L 2,
64,Mon Mar 6 2017,7:00p ET,,Box Score,@,Orlando Magic,W,,113,105,26,38,W 1,
65,Wed Mar 8 2017,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,93,104,26,39,L 1,
66,Sat Mar 11 2017,5:00p ET,,Box Score,@,Detroit Pistons,L,,92,112,26,40,L 2,
67,Sun Mar 12 2017,6:00p ET,,Box Score,@,Brooklyn Nets,L,,112,120,26,41,L 3,
68,Tue Mar 14 2017,7:30p ET,,Box Score,,Indiana Pacers,W,,87,81,27,41,W 1,
69,Thu Mar 16 2017,7:30p ET,,Box Score,,Brooklyn Nets,L,,110,121,27,42,L 1,
70,Mon Mar 20 2017,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,105,114,27,43,L 2,
71,Wed Mar 22 2017,10:30p ET,,Box Score,@,Utah Jazz,L,,101,108,27,44,L 3,
72,Thu Mar 23 2017,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,95,110,27,45,L 4,
73,Sat Mar 25 2017,8:30p ET,,Box Score,@,San Antonio Spurs,L,,98,106,27,46,L 5,
74,Mon Mar 27 2017,7:30p ET,,Box Score,,Detroit Pistons,W,,109,95,28,46,W 1,
75,Wed Mar 29 2017,7:30p ET,,Box Score,,Miami Heat,L,,88,105,28,47,L 1,
76,Fri Mar 31 2017,8:00p ET,,Box Score,@,Miami Heat,W,,98,94,29,47,W 1,
77,Sun Apr 2 2017,1:00p ET,,Box Score,,Boston Celtics,L,,94,110,29,48,L 1,
78,Tue Apr 4 2017,8:00p ET,,Box Score,,Chicago Bulls,W,,100,91,30,48,W 1,
79,Thu Apr 6 2017,7:30p ET,,Box Score,,Washington Wizards,L,,103,106,30,49,L 1,
80,Fri Apr 7 2017,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,88,101,30,50,L 2,
81,Sun Apr 9 2017,12:00p ET,,Box Score,,Toronto Raptors,L,,97,110,30,51,L 3,
82,Wed Apr 12 2017,8:00p ET,,Box Score,,Philadelphia 76ers,W,,114,113,31,51,W 1,
